Layer, Type, start time, end time, duration, Bytes to be transferred, Collective type, Parallelism, Locality, Degree, SRC, DEST
'FWD_TP_COMM_INTRA_1', 'Comm', 192.5475255410005, 192.55110468541383, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 192.5475255410005, 192.55110468541383, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 192.5475255410005, 192.55110468541383, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 192.5475255410005, 192.55110468541383, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 192.5475255410005, 192.55110468541383, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_FFN', 'Compute', 192.5690004074805, 200.0175942801516, 7.4485938726711, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 200.0175942801516, 200.02117342456492, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 200.0175942801516, 200.02117342456492, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 200.0175942801516, 200.02117342456492, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 200.0175942801516, 200.02117342456492, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 200.0175942801516, 200.02117342456492, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 200.0175942801516, 200.02117342456492, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_MHA', 'Compute', 200.0390691466316, 225.88737039877242, 25.84830125214084, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA_0', 'Comm', 225.88737039877242, 225.89094954318574, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_1', 'Comm', 225.88737039877242, 225.89094954318574, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_2', 'Comm', 225.88737039877242, 225.89094954318574, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_3', 'Comm', 225.88737039877242, 225.89094954318574, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_4', 'Comm', 225.88737039877242, 225.89094954318574, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_TP_COMM_INTRA_5', 'Comm', 225.88737039877242, 225.89094954318574, 0.0035791444133333335, 51539607552.0, 'P2P', 'TP', 'INTRA', 4, 2, 3
'FWD_FFN', 'Compute', 225.9088452652524, 233.3574391379235, 7.4485938726711, 'NONE', 'NONE', 'NONE', 0
