queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
clustered,low,600,120,0.01,20,12000.0,14050.859749999996,11789.901499999996,11650.659749999995,1.0178202082519523,1.191770749738664,1.195140472624323,0.010195165752657056,95.0,94.54922528967101,conditional
random_avg,low,600,120,0.01,20,12000.0,14050.85975,11789.9015,11650.659749999999,1.0178202082519519,1.191770749738664,1.195140472624323,0.010195165752657052,95.0,94.54922528967076,conditional
clustered,low,3600,1,0,2,72000.0,69923.95850000001,69957.901,69903.95850000001,1.0291903983797341,0.999514815345875,0.0771665884987005,0.0001429431108860742,50.0,97.90354818833548,drop
random_avg,low,3600,1,0,2,72000.0,69923.95850000001,69972.60519999999,69903.95850000001,1.028974152717014,0.9993048048910717,0.09820144877773718,0.00014291307676625196,50.0,97.20202581866872,drop
clustered,low,3600,1,0,5,72000.0,69923.95850000001,69980.251,69903.95850000001,1.0288616998530056,0.999195594482792,0.10913902679774434,5.7158983325166976e-05,80.0,96.5509986324223,drop
random_avg,low,3600,1,0,5,72000.0,69923.95850000001,70013.7859,69903.95850000001,1.0283689345616303,0.9987170375413426,0.15711184653440569,5.713160747564613e-05,80.0,94.95108279106125,drop
clustered,low,3600,1,0,10,72000.0,69923.95850000001,70020.209,69903.95850000001,1.0282745657043098,0.9986253897071344,0.16630031044664317,2.856318238067527e-05,90.0,94.54922528967127,drop
random_avg,low,3600,1,0,10,72000.0,69923.95850000001,70020.209,69903.95850000001,1.0282745657043098,0.9986253897071344,0.16630031044664761,2.856318238067527e-05,90.0,94.54922528967114,drop
clustered,low,3600,1,0,20,72000.0,69923.95850000001,70019.209,69903.95850000001,1.0282892513110224,0.998639651870389,0.1648697762945739,1.4281795157097533e-05,95.0,94.54922528967127,drop
random_avg,low,3600,1,0,20,72000.0,69923.95850000001,70019.20899999999,69903.95850000001,1.0282892513110224,0.9986396518703891,0.16486977629456057,1.4281795157097536e-05,95.0,94.54922528967168,drop
