workload,method,penalty_us,total_cycles,total_ms,normalised_to_fair_universal_static,gain_vs_fair_static_percent,number_of_reconfigurations,selected_candidate_name,graph_hash,selection_signal,evaluation_target,no_leakage,observed_bytes,evaluated_bytes,dominant_bottleneck,sender_bottleneck_time_ms,receiver_bottleneck_time_ms,optical_resource_bottleneck_time_ms,byte_conservation,same_budget_check
deepseek_mmlu_machine_learning,prefill10-warmup OCS,1,30298594,30.298594,1.1446156800962761,-14.461568009627609,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,3115483136,131539206144,optical_resource,1.971282,2.359161,11.314913,True,True
deepseek_mmlu_machine_learning,phase-warmup OCS,1,28154474,28.154474,1.0636154405469416,-6.361544054694164,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,14348877824,131539206144,optical_resource,1.689491,2.104835,8.881429,True,True
deepseek_mmlu_machine_learning,oracle,1,24888978,24.888978,0.9402520288687737,5.97479711312263,0,signal_greedy,040a28a0c6caca24981f5a0878c378de7028fef8b5912db51accd8703c8dbb63,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,131539206144,131539206144,optical_resource,2.359161,1.971282,9.827359,True,True
deepseek_mmlu_machine_learning,previous-request OCS W=16,1,32564973,32.564973,1.2302346015696923,-23.023460156969225,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_27': 2, 'random_regular_seed_11': 2}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,19296108544,131539206144,optical_resource,0.281982,0.35778,1.602312,True,True
deepseek_mmlu_machine_learning,static SON / torus,10,93855373,93.855373,3.5456540193609203,-254.56540193609206,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,131539206144,131539206144,optical_resource,2.359161,1.971282,37.132822,True,True
deepseek_mmlu_machine_learning,full-prefill-informed decode OCS,10,26172362,26.172362,0.9887355146036128,1.1264485396387283,1,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,27984723968,131539206144,optical_resource,2.359161,1.971282,9.961458,True,True
deepseek_mmlu_machine_learning,prefill10-warmup OCS,10,30307594,30.307594,1.1449556807286774,-14.495568072867727,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,3115483136,131539206144,optical_resource,1.971282,2.359161,11.314913,True,True
deepseek_mmlu_machine_learning,phase-warmup OCS,10,28172474,28.172474,1.064295441811744,-6.429544181174399,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,14348877824,131539206144,optical_resource,1.689491,2.104835,8.881429,True,True
deepseek_mmlu_machine_learning,oracle,10,24888978,24.888978,0.9402520288687737,5.97479711312263,0,signal_greedy,040a28a0c6caca24981f5a0878c378de7028fef8b5912db51accd8703c8dbb63,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,131539206144,131539206144,optical_resource,2.359161,1.971282,9.827359,True,True
deepseek_mmlu_machine_learning,previous-request OCS W=16,10,32618973,32.618973,1.2322746053640994,-23.227460536409932,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_27': 2, 'random_regular_seed_11': 2}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,19296108544,131539206144,optical_resource,0.281982,0.35778,1.602312,True,True
deepseek_mmlu_machine_learning,static SON / torus,25000,93855373,93.855373,3.5456540193609203,-254.56540193609206,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,131539206144,131539206144,optical_resource,2.359161,1.971282,37.132822,True,True
deepseek_mmlu_machine_learning,full-prefill-informed decode OCS,25000,51162362,51.162362,1.9328039372375454,-93.28039372375454,1,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,27984723968,131539206144,optical_resource,2.359161,1.971282,9.961458,True,True
deepseek_mmlu_machine_learning,prefill10-warmup OCS,25000,55297594,55.297594,2.0890241033626102,-108.902410336261,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,3115483136,131539206144,optical_resource,1.971282,2.359161,11.314913,True,True
deepseek_mmlu_machine_learning,phase-warmup OCS,25000,78152474,78.152474,2.9524322870796094,-195.24322870796095,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,14348877824,131539206144,optical_resource,1.689491,2.104835,8.881429,True,True
deepseek_mmlu_machine_learning,oracle,25000,24888978,24.888978,0.9402520288687737,5.97479711312263,0,signal_greedy,040a28a0c6caca24981f5a0878c378de7028fef8b5912db51accd8703c8dbb63,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,131539206144,131539206144,optical_resource,2.359161,1.971282,9.827359,True,True
deepseek_mmlu_machine_learning,previous-request OCS W=16,25000,182558973,182.558973,6.896685141167696,-589.6685141167696,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_27': 2, 'random_regular_seed_11': 2}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,19296108544,131539206144,optical_resource,0.281982,0.35778,1.602312,True,True
qwen_livecodebench_execution,static SON / torus,0,1097089829,1097.089829,3.41413331539001,-241.413331539001,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,1389438582784,1389438582784,optical_resource,13.721466,37.66056,295.536371,True,True
qwen_livecodebench_execution,full-prefill-informed decode OCS,0,322420513,322.420513,1.0033696292689245,-0.3369629268924554,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,639855820800,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,prefill10-warmup OCS,0,318263382,318.263382,0.9904326763701109,0.9567323629889156,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,65425473536,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
qwen_livecodebench_execution,phase-warmup OCS,0,318373409,318.373409,0.9907750793678989,0.9224920632101072,2,prefill:random_regular_seed_2 decode:random_regular_seed_2,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,140536561664,1389438582784,optical_resource,33.770179,12.349319,75.947138,True,True
qwen_livecodebench_execution,oracle,0,315926359,315.926359,0.9831598825913138,1.6840117408686195,0,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,1389438582784,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True
