Total batches,143051.1474609375,Explicit schedule unit,one optimization step,DP overlap mode,lump
Event,Type,start time,end time,duration,Bytes to be transferred,Collective type,Parallelism,Locality,Degree,Lane,Step,Layer index,First layer,Last layer,Layer count,Bucket id,Unit kind,Ready time,Raw comm duration,Raw reconf duration,Hidden comm duration,Exposed comm duration,Hidden reconf duration,Exposed reconf duration,Stage index,Microbatch index,Scheduler explicit,Event provenance,Ordering source,topology_signature,Topology candidate tag,previous_event_type,previous_topology_signature,gap_from_previous_s
FWD_TP_COMM_INTRA,Comm,0.1656975513701089,0.16573031373455333,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,21,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.16573031373455333,0.17323074744895223,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,22,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.17323074744895223,0.17326350981339667,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,22,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.17326350981339667,0.18076394352779557,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,23,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.18076394352779557,0.18079670589224,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,23,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.18079670589224,0.1882971396066389,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,24,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.1882971396066389,0.18832990197108335,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,24,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.18832990197108335,0.19583033568548225,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,25,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.19583033568548225,0.1958630980499267,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,25,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.1958630980499267,0.2033635317643256,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,26,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
