Layer, Type, start time, end time, duration, Bytes to be transferred, Collective type, Parallelism, Locality, Degree, SRC, DEST
'FWD_FFN', 'Compute', 3091.0720875903635, 3120.8700466087744, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3120.8700466087744, 3146.8019098512345, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3146.8019098512345, 3176.5998688696454, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3176.5998688696454, 3202.5317321121056, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3202.5317321121056, 3232.3296911305165, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3232.3296911305165, 3258.2615543729767, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3258.2615543729767, 3288.0595133913876, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3288.0595133913876, 3313.9913766338477, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3313.9913766338477, 3343.7893356522586, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3343.7893356522586, 3369.721198894719, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3369.721198894719, 3399.5191579131297, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3399.5191579131297, 3425.45102115559, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3425.45102115559, 3455.2489801740007, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3455.2489801740007, 3481.180843416461, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3481.180843416461, 3510.978802434872, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3510.978802434872, 3536.910665677332, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3536.910665677332, 3566.708624695743, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3566.708624695743, 3592.640487938203, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3592.640487938203, 3622.438446956614, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3622.438446956614, 3648.370310199074, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3648.370310199074, 3678.168269217485, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
