comm_class,start_us,end_us,duration_us,ranks,label
TP,169.594000,169.686000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.2.ffn.dx0@0_X1COMM
TP,169.686000,169.717000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.2.mha.do1@0_X1COMM
TP,169.686000,169.717000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.2.mha.do1@0_X1COMM
TP,169.717000,169.748000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.2.mha.do1@0_X1COMM
TP,169.717000,169.748000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.2.mha.do1@0_X1COMM
DP,169.748000,170.742000,0.994000,0 1,DP:ALL_REDUCE:mb0.transformer.2._sharded_grad@0_X1COMM
DP,169.748000,170.742000,0.994000,2 3,DP:ALL_REDUCE:mb0.transformer.2._sharded_grad@0_X1COMM
DP,169.748000,170.742000,0.994000,4 5,DP:ALL_REDUCE:mb0.transformer.2._sharded_grad@0_X1COMM
DP,169.748000,170.742000,0.994000,6 7,DP:ALL_REDUCE:mb0.transformer.2._sharded_grad@0_X1COMM
TP,170.742000,170.834000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.2.mha.dx@0_X1COMM
TP,170.742000,170.834000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.2.mha.dx@0_X1COMM
DP,170.834000,171.828000,0.994000,0 1,DP:ALL_REDUCE:mb1.transformer.2._sharded_grad@0_X1COMM
DP,170.834000,171.828000,0.994000,2 3,DP:ALL_REDUCE:mb1.transformer.2._sharded_grad@0_X1COMM
DP,170.834000,171.828000,0.994000,4 5,DP:ALL_REDUCE:mb1.transformer.2._sharded_grad@0_X1COMM
DP,170.834000,171.828000,0.994000,6 7,DP:ALL_REDUCE:mb1.transformer.2._sharded_grad@0_X1COMM
TP,171.828000,171.920000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.2.mha.dx@0_X1COMM
TP,171.828000,171.920000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.2.mha.dx@0_X1COMM
TP,171.920000,171.951000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.1.ffn.dxdown2@0_X1COMM
TP,171.920000,171.951000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.1.ffn.dxdown2@0_X1COMM
TP,171.951000,171.982000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.1.ffn.dxdown2@0_X1COMM
TP,171.951000,171.982000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.1.ffn.dxdown2@0_X1COMM
TP,171.982000,172.074000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.1.ffn.dx0@0_X1COMM
TP,171.982000,172.074000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.1.ffn.dx0@0_X1COMM
TP,172.074000,172.166000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.1.ffn.dx0@0_X1COMM
TP,172.074000,172.166000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.1.ffn.dx0@0_X1COMM
TP,172.166000,172.197000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.1.mha.do1@0_X1COMM
TP,172.166000,172.197000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.1.mha.do1@0_X1COMM
TP,172.197000,172.228000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.1.mha.do1@0_X1COMM
TP,172.197000,172.228000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.1.mha.do1@0_X1COMM
DP,172.228000,173.222000,0.994000,0 1,DP:ALL_REDUCE:mb0.transformer.1._sharded_grad@0_X1COMM
DP,172.228000,173.222000,0.994000,2 3,DP:ALL_REDUCE:mb0.transformer.1._sharded_grad@0_X1COMM
DP,172.228000,173.222000,0.994000,4 5,DP:ALL_REDUCE:mb0.transformer.1._sharded_grad@0_X1COMM
DP,172.228000,173.222000,0.994000,6 7,DP:ALL_REDUCE:mb0.transformer.1._sharded_grad@0_X1COMM
TP,173.222000,173.314000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.1.mha.dx@0_X1COMM
TP,173.222000,173.314000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.1.mha.dx@0_X1COMM
DP,173.314000,174.308000,0.994000,0 1,DP:ALL_REDUCE:mb1.transformer.1._sharded_grad@0_X1COMM
DP,173.314000,174.308000,0.994000,2 3,DP:ALL_REDUCE:mb1.transformer.1._sharded_grad@0_X1COMM
DP,173.314000,174.308000,0.994000,4 5,DP:ALL_REDUCE:mb1.transformer.1._sharded_grad@0_X1COMM
DP,173.314000,174.308000,0.994000,6 7,DP:ALL_REDUCE:mb1.transformer.1._sharded_grad@0_X1COMM
TP,174.308000,174.400000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.1.mha.dx@0_X1COMM
TP,174.308000,174.400000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.1.mha.dx@0_X1COMM
TP,174.400000,174.431000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.0.ffn.dxdown2@0_X1COMM
TP,174.400000,174.431000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.0.ffn.dxdown2@0_X1COMM
TP,174.431000,174.462000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.0.ffn.dxdown2@0_X1COMM
TP,174.431000,174.462000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.0.ffn.dxdown2@0_X1COMM
TP,174.462000,174.554000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.0.ffn.dx0@0_X1COMM
TP,174.462000,174.554000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.0.ffn.dx0@0_X1COMM
TP,174.554000,174.646000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.0.ffn.dx0@0_X1COMM
